name,path,split,family_id,archetype,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,orientation,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,ally_composition,enemy_composition,sha256
r2_2v1_stalker_train_0001,configs/train/r2_2v1_stalker_train_0001.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,1,near,8.0107,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",5dd97044d5989902f8d9b8228e7cd57f8b11a83f39f4b8a1c09e30443440e03d
r2_2v1_stalker_train_0002,configs/train/r2_2v1_stalker_train_0002.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,2,near,7.7507,OCTAGON,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",5845ec6fb6a62727beaa27011814224e4094600735aa8ce1867c12844f86d07e
r2_2v1_stalker_train_0003,configs/train/r2_2v1_stalker_train_0003.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,3,near,8.3132,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",e5d0d4d3d9f311ed3965d0f9ab12bde8e8bbd36e4fd900c2df5f9fb519e038be
r2_2v1_stalker_train_0004,configs/train/r2_2v1_stalker_train_0004.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,4,near,8.0069,NARROW,compact,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",e5c2c251bd02447f8a84189d7ebc88b4d82cfd5233899a48eeca57682da5d3e4
r2_2v1_stalker_train_0005,configs/train/r2_2v1_stalker_train_0005.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,5,near,8.0274,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",ef817e9f4851aeb58aa50ca07e891046807263f96396a906fd92d2d0c479cce5
r2_2v1_stalker_train_0006,configs/train/r2_2v1_stalker_train_0006.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,6,near,7.9916,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",aa7b91d0d8708691847034fd0ec4ff7fe7c3aa80e18927194140f36297f9cf57
r2_2v1_stalker_train_0007,configs/train/r2_2v1_stalker_train_0007.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,7,near,8.2491,NARROW,wide_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",3d332bd3e1548e200eb2b7cc94692c7d9157b60077464ef8cb85f5a0f5f2870e
r2_2v1_stalker_train_0008,configs/train/r2_2v1_stalker_train_0008.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,8,near,7.6365,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",eec3dd98d7a79b5cb2060df8753a370abd6fbe4ac04912489cdf18d6830ed298
r2_2v1_stalker_train_0009,configs/train/r2_2v1_stalker_train_0009.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,9,near,8.3453,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",9071accff422f02949b39ad7a57c497d7ab8667d74cc4653bd8c234f199529dd
r2_2v1_stalker_train_0010,configs/train/r2_2v1_stalker_train_0010.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,10,immediate,5.1206,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",48afa818fa88598fa4caa2b560241ea8b39615405a637ba501e885f80e40f500
