example_id,batch_index,dataset_item_index,episode_index,segment_start,rollout_start_offset,absolute_start_timestep,dynamic_mae_h1,dynamic_mae_h5,dynamic_mae_h15,h15_minus_h5,h15_minus_h1,ally_dynamic_mae_h1,ally_dynamic_mae_h15,enemy_dynamic_mae_h1,enemy_dynamic_mae_h15,visible_enemy_dynamic_mae_h15,hidden_enemy_dynamic_mae_h15,position_mae_h1,position_mae_h5,position_mae_h15,health_mae_h1,health_mae_h15,target_dynamic_change_h15,predicted_dynamic_change_h15,predicted_to_target_change_ratio_h15,target_health_change_h15,presence_false_positive_h15,presence_false_negative_h15,presence_error_rate_h15,health_out_of_range_fraction_h15,natural_enemy_visibility_changes_h1_h15,hidden_enemy_dynamic_coordinate_count_h15,enemy_dynamic_coordinate_count_h15
ep00001_t0000_item000000,0,0,1,0,0,0,0.04778989031910896,0.050090890377759933,0.040846288204193115,-0.009244602173566818,-0.006943602114915848,0.05042814463376999,0.061807241290807724,0.04350271821022034,0.029492443427443504,0.029492443427443504,,0.04049636796116829,0.04687955975532532,0.04006190225481987,0.07477499544620514,0.12476704269647598,0.042415324598550797,0.0680728331208229,1.604911285369457,0.23333331942558289,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0001_item000000,0,0,1,0,1,1,0.042324356734752655,0.03894893452525139,0.03888082504272461,-6.810948252677917e-05,-0.0034435316920280457,0.04353056848049164,0.056970205157995224,0.04036426916718483,0.029082411900162697,0.029082411900162697,,0.033473461866378784,0.04744167998433113,0.044078197330236435,0.06525211036205292,0.11350605636835098,0.03967844322323799,0.06257762014865875,1.5771188349448568,0.23333331942558289,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0002_item000000,0,0,1,0,2,2,0.03975735604763031,0.041984204202890396,0.0405113622546196,-0.0014728419482707977,0.0007540062069892883,0.043348781764507294,0.056755900382995605,0.03392129763960838,0.031712234020233154,0.031712234020233154,,0.036568958312273026,0.04295598343014717,0.0401313491165638,0.059909507632255554,0.13470050692558289,0.041697658598423004,0.05772045627236366,1.384261328153966,0.23333331942558289,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0003_item000000,0,0,1,0,3,3,0.03830615431070328,0.04508798569440842,0.03845473378896713,-0.006633251905441284,0.00014857947826385498,0.041298188269138336,0.057785384356975555,0.033444102853536606,0.02798396907746792,0.02798396907746792,,0.03481510281562805,0.038165487349033356,0.04339243471622467,0.05972940847277641,0.11329243332147598,0.03660310059785843,0.053696345537900925,1.4669889889339753,0.19999998807907104,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0004_item000000,0,0,1,0,4,4,0.0429653599858284,0.04974312335252762,0.03944022208452225,-0.010302901268005371,-0.0035251379013061523,0.049079760909080505,0.059474386274814606,0.033029451966285706,0.02858838625252247,0.02858838625252247,,0.03696630522608757,0.04205034673213959,0.04242677614092827,0.08003921806812286,0.12499592453241348,0.035271842032670975,0.05306980386376381,1.5045940559216402,0.19999998807907104,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0005_item000000,0,0,1,0,5,5,0.034945178776979446,0.057494472712278366,0.038863737136125565,-0.0186307355761528,0.003918558359146118,0.041124213486909866,0.057602882385253906,0.024904249235987663,0.028713366016745567,0.028713366016745567,,0.03452552109956741,0.05178357660770416,0.03807482123374939,0.048539355397224426,0.13079425692558289,0.03155471757054329,0.047144338488578796,1.4940504025486385,0.1666666567325592,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0006_item000000,0,0,1,0,6,6,0.03505469858646393,0.03267277404665947,0.03760388121008873,0.00493110716342926,0.0025491826236248016,0.04463648051023483,0.05455993860960007,0.01948431134223938,0.02841934561729431,0.02841934561729431,,0.03135441616177559,0.04597124084830284,0.034893739968538284,0.04969990998506546,0.13439533114433289,0.033777423202991486,0.04597082734107971,1.3609927277403542,0.1666666567325592,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0007_item000000,0,0,1,0,7,7,0.036195915192365646,0.03075447678565979,0.037472933530807495,0.006718456745147705,0.0012770183384418488,0.045357704162597656,0.05133356526494026,0.021308014169335365,0.029965095221996307,0.029965095221996307,,0.027653539553284645,0.03074304759502411,0.03911740705370903,0.043093491345644,0.13672992587089539,0.02993038482964039,0.03956393152475357,1.3218651129929,0.13333332538604736,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0008_item000000,0,0,1,0,8,8,0.035142771899700165,0.03185907378792763,0.037956953048706055,0.006097879260778427,0.00281418114900589,0.044649362564086914,0.05194035917520523,0.024843966588377953,0.030382610857486725,0.030382610857486725,,0.02855783700942993,0.028628438711166382,0.045787274837493896,0.043949633836746216,0.13732501864433289,0.02233135513961315,0.03965131565928459,1.7755893187578171,0.06666667014360428,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0009_item000000,0,0,1,0,9,9,0.04402106627821922,0.03043222799897194,0.03435191512107849,0.003919687122106552,-0.009669151157140732,0.06642775237560272,0.05059656873345375,0.019747169688344002,0.02555272728204727,0.02555272728204727,,0.03155432641506195,0.03604279085993767,0.04513499140739441,0.0227382630109787,0.10068867355585098,0.01800270937383175,0.03454504907131195,1.9188805614740245,0.03333333879709244,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0010_item000000,0,0,1,0,10,10,0.024081984534859657,0.031401172280311584,0.03276808187365532,0.0013669095933437347,0.008686097338795662,0.03477945178747177,0.045992281287908554,0.018287522718310356,0.0256049707531929,0.0256049707531929,,0.018292034044861794,0.039476145058870316,0.03966980054974556,0.03290913254022598,0.09923908859491348,0.01306887250393629,0.037816599011421204,2.8936389883695783,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0011_item000000,0,0,1,0,11,11,0.01919320598244667,0.027577709406614304,0.030669238418340683,0.0030915290117263794,0.011476032435894012,0.024159930646419525,0.05533301457762718,0.016502896323800087,0.01730968989431858,0.01730968989431858,,0.01398150622844696,0.028220370411872864,0.02262144722044468,0.03518269211053848,0.07002969831228256,0.012470735237002373,0.03858732059597969,3.094229799818526,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0012_item000000,0,0,1,0,12,12,0.01835659332573414,0.025856202468276024,0.029145782813429832,0.0032895803451538086,0.010789189487695694,0.024498632177710533,0.049210019409656525,0.015029657632112503,0.018277650699019432,0.018277650699019432,,0.011616836301982403,0.021124163642525673,0.02565593086183071,0.030799351632595062,0.06197305768728256,0.0097357127815485,0.03440333530306816,3.533725375328522,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0013_item000000,0,0,1,0,13,13,0.016910487785935402,0.025990653783082962,0.029218055307865143,0.003227401524782181,0.012307567521929741,0.022060545161366463,0.04614201560616493,0.014120875857770443,0.020050911232829094,0.020050911232829094,,0.010872145183384418,0.026146268472075462,0.03520793095231056,0.025031529366970062,0.05106302350759506,0.005831957794725895,0.030746595934033394,5.2720882105558005,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0014_item000000,0,0,1,0,14,14,0.017595648765563965,0.02674173004925251,0.02929551899433136,0.00255378894507885,0.011699870228767395,0.02031584456562996,0.04438277333974838,0.016122208908200264,0.0211232528090477,0.0211232528090477,,0.01642709970474243,0.03234369680285454,0.03799623250961304,0.029597975313663483,0.04604694992303848,0.004566666204482317,0.02995513565838337,6.55951942118772,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0015_item000000,0,0,1,0,15,15,0.01742234267294407,0.025664793327450752,0.02803109772503376,0.002366304397583008,0.010608755052089691,0.020052282139658928,0.04103406146168709,0.015997791662812233,0.020987829193472862,0.020987829193472862,,0.016454502940177917,0.03164081647992134,0.03979244455695152,0.030727125704288483,0.04130146652460098,0.003935263957828283,0.027921553701162338,7.095217500116851,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0016_item000000,0,0,1,0,16,16,0.017952345311641693,0.024694053456187248,0.028432881459593773,0.0037388280034065247,0.01048053614795208,0.023324379697442055,0.04234534502029419,0.015042492188513279,0.02089696377515793,0.02089696377515793,,0.018326858058571815,0.029906809329986572,0.041230347007513046,0.028377272188663483,0.03622028976678848,0.0016712223878130317,0.02685031108558178,16.066270582168425,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0017_item000000,0,0,1,0,17,17,0.018042873591184616,0.02364245243370533,0.027276484295725822,0.0036340318620204926,0.009233610704541206,0.020812302827835083,0.038590215146541595,0.016542766243219376,0.021148212254047394,0.021148212254047394,,0.016759568825364113,0.028391003608703613,0.03608153760433197,0.031078077852725983,0.04227802902460098,0.0013688295148313046,0.028027335181832314,20.47540243555197,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0018_item000000,0,0,1,0,18,18,0.01778598502278328,0.024245142936706543,0.028058379888534546,0.003813236951828003,0.010272394865751266,0.021104855462908745,0.03933444991707802,0.015988262370228767,0.021950513124465942,0.021950513124465942,,0.01725275255739689,0.03831099346280098,0.03851781785488129,0.030498243868350983,0.05155537277460098,0.0018537447322160006,0.028998369351029396,15.643129740071716,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00001_t0019_item000000,0,0,1,0,19,19,0.01837591454386711,0.024827413260936737,0.029192930087447166,0.004365516826510429,0.010817015543580055,0.022682838141918182,0.04136577621102333,0.01604299806058407,0.02259930409491062,0.02259930409491062,,0.01746285893023014,0.04420473054051399,0.04189001023769379,0.031154371798038483,0.05762837082147598,0.000525375478900969,0.028801660984754562,54.82109870259771,0.0,0.0,0.0,0.0,0.25,0.0,0.0,24.0
ep00129_t0012_item002409,0,2409,129,12,0,12,0.028837792575359344,0.02895437739789486,0.03984273597598076,0.0108883585780859,0.011004943400621414,0.03571705147624016,0.04195607081055641,0.02244991436600685,0.03918860852718353,0.03918860852718353,,0.02135162614285946,0.029312334954738617,0.07175029069185257,0.058713823556900024,0.07909821718931198,0.02296857163310051,0.037408504635095596,1.6286822373048824,0.030030304566025734,0.0,0.0,0.0,0.0,0.0,0.0,84.0
ep00129_t0013_item002409,0,2409,129,12,1,13,0.023927602916955948,0.028802931308746338,0.03729526698589325,0.008492335677146912,0.013367664068937302,0.028212089091539383,0.03767935559153557,0.02061222493648529,0.037176381796598434,0.037176381796598434,,0.018919024616479874,0.029105056077241898,0.07239817082881927,0.04788540303707123,0.07227548956871033,0.020288072526454926,0.03463524207472801,1.7071726271465606,0.0180454533547163,0.0,0.0,0.0,0.0,0.0,0.0,84.0
