category,category_rank,example_id,horizon,entity,slot_index,faction,feature_index,feature,actual,predicted,abs_error,start_value,target_change_from_start,predicted_change_from_start
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,0,hp,0.8999999761581421,0.83154296875,0.06845700740814209,0.8999999761581421,0.0,-0.06845700740814209
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,1,cooldown_or_energy,0.26390624046325684,0.255859375,0.008046865463256836,0.26249998807907104,0.001406252384185791,-0.006640613079071045
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,2,dx,-0.1396092176437378,-0.1668701171875,0.027260899543762207,-0.1396092176437378,0.0,-0.027260899543762207
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,3,dy,-0.2302379310131073,-0.198486328125,0.0317516028881073,-0.1755504310131073,-0.0546875,-0.0229358971118927
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,4,shield,0.0,-0.0018596649169921875,0.0018596649169921875,0.0,0.0,-0.0018596649169921875
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,5,dynamic_5,0.0,-0.0004017353057861328,0.0004017353057861328,0.0,0.0,-0.0004017353057861328
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,6,dynamic_6,0.0,-0.007305145263671875,0.007305145263671875,0.0,0.0,-0.007305145263671875
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,7,dynamic_7,0.0,0.0670166015625,0.0670166015625,0.0,0.0,0.0670166015625
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,8,dynamic_8,1.0,0.9951171875,0.0048828125,1.0,0.0,-0.0048828125
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,9,dynamic_9,0.0,0.00038170814514160156,0.00038170814514160156,0.0,0.0,0.00038170814514160156
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,10,dynamic_10,0.0,-0.0161590576171875,0.0161590576171875,0.0,0.0,-0.0161590576171875
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,11,dynamic_11,0.0,-0.044342041015625,0.044342041015625,0.0,0.0,-0.044342041015625
position_drift,1,ep00129_t0016_item002409,1,A0,0,ally,12,dynamic_12,0.0,-0.00728607177734375,0.00728607177734375,0.0,0.0,-0.00728607177734375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,0,hp,1.0,0.96826171875,0.03173828125,1.0,0.0,-0.03173828125
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,1,cooldown_or_energy,0.0,0.004985809326171875,0.004985809326171875,0.0,0.0,0.004985809326171875
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,2,dx,-0.334256112575531,-0.341552734375,0.007296621799468994,-0.3834748864173889,0.04921877384185791,0.041922152042388916
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,3,dy,0.13429361581802368,0.15625,0.02195638418197632,0.13429361581802368,0.0,0.02195638418197632
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,4,shield,0.0,-0.0169677734375,0.0169677734375,0.0,0.0,-0.0169677734375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,5,dynamic_5,0.0,-0.015228271484375,0.015228271484375,0.0,0.0,-0.015228271484375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,6,dynamic_6,0.0,0.01204681396484375,0.01204681396484375,0.0,0.0,0.01204681396484375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,7,dynamic_7,1.0,1.0361328125,0.0361328125,1.0,0.0,0.0361328125
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,8,dynamic_8,0.0,0.028656005859375,0.028656005859375,0.0,0.0,0.028656005859375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,9,dynamic_9,0.0,0.0004801750183105469,0.0004801750183105469,0.0,0.0,0.0004801750183105469
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,10,dynamic_10,0.0,-0.00783538818359375,0.00783538818359375,0.0,0.0,-0.00783538818359375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,11,dynamic_11,0.0,0.0162200927734375,0.0162200927734375,0.0,0.0,0.0162200927734375
position_drift,1,ep00129_t0016_item002409,1,A3,3,ally,12,dynamic_12,0.0,-0.035186767578125,0.035186767578125,0.0,0.0,-0.035186767578125
position_drift,1,ep00129_t0016_item002409,1,A5,5,ally,0,hp,0.8080000281333923,0.78515625,0.022843778133392334,0.8080000281333923,0.0,-0.022843778133392334
position_drift,1,ep00129_t0016_item002409,1,A5,5,ally,1,cooldown_or_energy,0.0,0.0291900634765625,0.0291900634765625,0.0,0.0,0.0291900634765625
position_drift,1,ep00129_t0016_item002409,1,A5,5,ally,2,dx,-0.16779157519340515,-0.1611328125,0.006658762693405151,-0.16779157519340515,0.0,0.006658762693405151
