horizon,dynamic_mae,ally_dynamic_mae,enemy_dynamic_mae,visible_enemy_dynamic_mae,hidden_enemy_dynamic_mae,position_mae,health_mae,presence_false_positive_rate,presence_false_negative_rate,evaluated_dynamic_coordinate_count
1,0.026150463191607527,0.03530865417414413,0.022338675593470667,0.022338675593470667,,0.0341934013553511,0.054438535335792744,0.002577319587628866,0.0010309278350515464,12576.0
2,0.026706662962902906,0.03558953621140002,0.023179523364917652,0.023179523364917652,,0.03916880062648228,0.05871960810359369,0.004123711340206186,0.0015463917525773195,12406.0
3,0.027458635167495363,0.03682130219173601,0.02389280903446782,0.02389280903446782,,0.04140502064971771,0.06147803225965971,0.003092783505154639,0.0015463917525773195,12262.0
4,0.0280050317689046,0.037683621242209815,0.024475831384057397,0.024475831384057397,,0.04306702101206441,0.0640137783892743,0.0036082474226804126,0.0015463917525773195,12118.0
5,0.02837028668886986,0.038077550811963956,0.02497274467536995,0.02497274467536995,,0.04444414865775186,0.06610950935791822,0.003092783505154639,0.0010309278350515464,11988.0
6,0.028978773432739083,0.039548083018656,0.02538782755533854,0.02538782755533854,,0.04590209866455834,0.06841072693890045,0.002577319587628866,0.0015463917525773195,11897.0
7,0.0294707794422096,0.04085571539377563,0.025719390044341216,0.025719390044341216,,0.04704991497269787,0.07041321896217964,0.002577319587628866,0.0015463917525773195,11806.0
8,0.029846240956240118,0.04183544156232005,0.026036161130613036,0.026036161130613036,,0.048189273170455196,0.07172164525071235,0.002577319587628866,0.0015463917525773195,11702.0
9,0.03029538054180736,0.04297418983615175,0.026377514675930813,0.026377514675930813,,0.049127403693863106,0.07385832050679876,0.002061855670103093,0.0015463917525773195,11624.0
10,0.03069977303549051,0.044144422240661486,0.026663348051878782,0.026663348051878782,,0.05000803678152161,0.07638071300266507,0.002061855670103093,0.0010309278350515464,11546.0
11,0.031006133158690174,0.0449110072926804,0.026933320363362632,0.026933320363362632,,0.050911200084706634,0.07851958232792176,0.0015463917525773195,0.0,11481.0
12,0.03145181288816695,0.04606814388182831,0.027234805167258323,0.027234805167258323,,0.0518811611853524,0.07983103542463153,0.0010309278350515464,0.0,11442.0
13,0.03187313211975124,0.04715339881391975,0.02753167624946113,0.02753167624946113,,0.052838260966136044,0.08075582534871636,0.0010309278350515464,0.0,11403.0
14,0.03221896264553909,0.04802702014572954,0.02779697985262484,0.02779697985262484,,0.05365546407370732,0.08130056456425712,0.0010309278350515464,0.0,11364.0
15,0.03265136998678393,0.04911500171881754,0.028094204052074537,0.028094204052074537,,0.05442056800067811,0.08274470816413276,0.0005154639175257732,0.0,11338.0
