target_timestep,transition_action_timestep,slot_idx,entity,faction,action_id_if_ally,slot_present,observed_at_input_t,observed_at_target_t,one_step_presence_score,open_loop_presence_score,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,recon_abs_error,one_step_abs_error,open_loop_abs_error,one_minus_actual,open_loop_minus_actual
1,0,0,A0,ally,4,True,True,True,0.999998,0.999998,0,hp,health_shield,1.0,0.978318,0.972024,0.972024,0.021682,0.027976,0.027976,-0.027976,-0.027976
1,0,0,A0,ally,4,True,True,True,0.999998,0.999998,1,cooldown_or_energy,cooldown,0.0,-0.043124,-0.029526,-0.029526,0.043124,0.029526,0.029526,-0.029526,-0.029526
1,0,0,A0,ally,4,True,True,True,0.999998,0.999998,2,dx,position,-0.260534,-0.252005,-0.257517,-0.257517,0.008529,0.003017,0.003017,0.003017,0.003017
1,0,0,A0,ally,4,True,True,True,0.999998,0.999998,3,dy,position,-0.072683,-0.074591,-0.101964,-0.101964,0.001908,0.029281,0.029281,-0.029281,-0.029281
1,0,0,A0,ally,4,True,True,True,0.999998,0.999998,4,shield,health_shield,1.0,1.012517,1.042527,1.042527,0.012517,0.042527,0.042527,0.042527,0.042527
1,0,1,A1,ally,3,True,True,True,0.999998,0.999998,0,hp,health_shield,1.0,1.003941,1.00067,1.00067,0.003941,0.00067,0.00067,0.00067,0.00067
1,0,1,A1,ally,3,True,True,True,0.999998,0.999998,1,cooldown_or_energy,cooldown,0.0,0.015396,0.006336,0.006336,0.015396,0.006336,0.006336,0.006336,0.006336
1,0,1,A1,ally,3,True,True,True,0.999998,0.999998,2,dx,position,-0.277501,-0.295888,-0.279806,-0.279806,0.018388,0.002306,0.002306,-0.002306,-0.002306
1,0,1,A1,ally,3,True,True,True,0.999998,0.999998,3,dy,position,-0.132825,-0.141079,-0.151522,-0.151522,0.008255,0.018697,0.018697,-0.018697,-0.018697
1,0,1,A1,ally,3,True,True,True,0.999998,0.999998,4,shield,health_shield,1.0,1.032406,1.055222,1.055222,0.032406,0.055222,0.055222,0.055222,0.055222
1,0,2,A2,ally,3,True,True,True,1.0,1.0,0,hp,health_shield,1.0,0.943394,0.957225,0.957225,0.056606,0.042775,0.042775,-0.042775,-0.042775
1,0,2,A2,ally,3,True,True,True,1.0,1.0,1,cooldown_or_energy,cooldown,0.0,-0.037531,-0.026806,-0.026806,0.037531,0.026806,0.026806,-0.026806,-0.026806
1,0,2,A2,ally,3,True,True,True,1.0,1.0,2,dx,position,-0.293656,-0.299722,-0.302199,-0.302199,0.006066,0.008543,0.008543,-0.008543,-0.008543
1,0,2,A2,ally,3,True,True,True,1.0,1.0,3,dy,position,-6.3e-05,-0.002315,0.028239,0.028239,0.002253,0.028302,0.028302,0.028302,0.028302
1,0,2,A2,ally,3,True,True,True,1.0,1.0,4,shield,health_shield,1.0,1.038814,1.031218,1.031218,0.038814,0.031218,0.031218,0.031218,0.031218
1,0,3,A3,ally,1,True,True,True,1.0,1.0,0,hp,health_shield,1.0,0.951781,0.947792,0.947792,0.048219,0.052208,0.052208,-0.052208,-0.052208
1,0,3,A3,ally,1,True,True,True,1.0,1.0,1,cooldown_or_energy,cooldown,0.0,-0.042991,-0.048742,-0.048742,0.042991,0.048742,0.048742,-0.048742,-0.048742
1,0,3,A3,ally,1,True,True,True,1.0,1.0,2,dx,position,-0.253031,-0.266209,-0.26794,-0.26794,0.013178,0.014909,0.014909,-0.014909,-0.014909
1,0,3,A3,ally,1,True,True,True,1.0,1.0,3,dy,position,0.064469,0.081024,0.104477,0.104477,0.016555,0.040008,0.040008,0.040008,0.040008
1,0,3,A3,ally,1,True,True,True,1.0,1.0,4,shield,health_shield,1.0,1.132556,1.131952,1.131952,0.132556,0.131952,0.131952,0.131952,0.131952
1,0,9,E0,enemy,,True,True,True,0.99993,0.99993,0,hp,health_shield,1.0,1.015184,1.018102,1.018102,0.015184,0.018102,0.018102,0.018102,0.018102
1,0,9,E0,enemy,,True,True,True,0.99993,0.99993,1,dx,position,0.24657,0.142201,0.143647,0.143647,0.104369,0.102923,0.102923,-0.102923,-0.102923
1,0,9,E0,enemy,,True,True,True,0.99993,0.99993,2,dy,position,0.016031,-0.017793,-0.012635,-0.012635,0.033824,0.028666,0.028666,-0.028666,-0.028666
1,0,9,E0,enemy,,True,True,True,0.99993,0.99993,3,shield,health_shield,1.0,0.980224,0.977032,0.977032,0.019776,0.022968,0.022968,-0.022968,-0.022968
1,0,10,E1,enemy,,True,True,True,0.999998,0.999998,0,hp,health_shield,1.0,1.013655,1.020308,1.020308,0.013655,0.020308,0.020308,0.020308,0.020308
1,0,10,E1,enemy,,True,True,True,0.999998,0.999998,1,dx,position,0.205949,0.124799,0.121801,0.121801,0.08115,0.084148,0.084148,-0.084148,-0.084148
1,0,10,E1,enemy,,True,True,True,0.999998,0.999998,2,dy,position,0.014461,-0.022708,-0.023578,-0.023578,0.03717,0.038039,0.038039,-0.038039,-0.038039
1,0,10,E1,enemy,,True,True,True,0.999998,0.999998,3,shield,health_shield,1.0,1.026753,0.99298,0.99298,0.026753,0.00702,0.00702,-0.00702,-0.00702
1,0,11,E2,enemy,,True,True,True,0.999998,0.999998,0,hp,health_shield,1.0,1.010657,1.034843,1.034843,0.010657,0.034843,0.034843,0.034843,0.034843
