entity,slot_idx,faction,feature_idx,feature,feature_group,valid_timesteps,actual_mean,actual_min,actual_max,recon_mae,one_step_mae,open_loop_mae,one_step_max_abs_error,open_loop_max_abs_error
A0,0,ally,0,hp,health_shield,25,0.501,0.0,1.0,0.387212,0.3024,0.38684,0.856214,0.858946
A0,0,ally,1,cooldown_or_energy,cooldown,25,0.065896,0.0,0.673507,0.094661,0.564142,0.570887,1.507462,1.554595
A0,0,ally,2,dx,position,25,-0.143064,-0.261776,0.0,0.030108,0.122357,0.134682,0.315009,0.274587
A0,0,ally,3,dy,position,25,-0.055428,-0.164238,0.0,0.07228,0.060142,0.052138,0.340402,0.192243
A0,0,ally,4,shield,health_shield,25,0.337,0.0,1.0,0.030468,0.086966,0.22951,0.359819,0.864838
A0,0,ally,5,unit_type_0,unit_type,25,0.0,0.0,0.0,0.017654,0.061775,0.061947,0.17704,0.193581
A0,0,ally,6,unit_type_1,unit_type,25,0.0,0.0,0.0,0.055299,0.130381,0.133089,0.395438,0.414592
A0,0,ally,7,unit_type_2,unit_type,25,0.0,0.0,0.0,0.010433,0.180558,0.163091,0.521501,0.518947
A0,0,ally,8,unit_type_3,unit_type,25,0.0,0.0,0.0,0.117229,0.065092,0.059675,0.192205,0.191771
A0,0,ally,9,unit_type_4,unit_type,25,0.0,0.0,0.0,0.001704,0.002941,0.003382,0.004193,0.004752
A0,0,ally,10,unit_type_5,unit_type,25,0.0,0.0,0.0,0.070934,0.092109,0.083086,0.231608,0.233936
A0,0,ally,11,unit_type_6,unit_type,25,0.6,0.0,1.0,0.167841,0.380278,0.389838,0.987777,1.106372
A0,0,ally,12,unit_type_7,unit_type,25,0.0,0.0,0.0,0.015448,0.034087,0.028461,0.110947,0.062274
A0,0,ally,13,unit_type_8,unit_type,25,0.0,0.0,0.0,0.002699,0.014717,0.014829,0.048759,0.052066
A1,1,ally,0,hp,health_shield,25,0.901,0.4625,1.0,0.020355,0.037728,0.034946,0.191007,0.241339
A1,1,ally,1,cooldown_or_energy,cooldown,25,0.108582,0.0,0.953358,0.086151,0.074808,0.081312,0.646448,0.704067
A1,1,ally,2,dx,position,25,-0.301169,-0.400507,-0.226286,0.020171,0.017722,0.046434,0.039789,0.071663
A1,1,ally,3,dy,position,25,-0.056898,-0.203249,0.106103,0.017553,0.016769,0.037886,0.051717,0.074395
A1,1,ally,4,shield,health_shield,25,0.71,0.0,1.0,0.021241,0.043871,0.050204,0.125636,0.181191
A1,1,ally,5,unit_type_0,unit_type,25,0.0,0.0,0.0,0.018372,0.010104,0.005855,0.021209,0.018029
A1,1,ally,6,unit_type_1,unit_type,25,0.0,0.0,0.0,0.019894,0.024888,0.023706,0.051813,0.051813
A1,1,ally,7,unit_type_2,unit_type,25,0.0,0.0,0.0,0.007592,0.012493,0.007955,0.022472,0.016791
A1,1,ally,8,unit_type_3,unit_type,25,0.0,0.0,0.0,0.017662,0.020294,0.022678,0.055571,0.054535
A1,1,ally,9,unit_type_4,unit_type,25,0.0,0.0,0.0,0.000826,0.000788,0.000858,0.00125,0.00123
A1,1,ally,10,unit_type_5,unit_type,25,0.0,0.0,0.0,0.027975,0.017467,0.0242,0.031871,0.04558
A1,1,ally,11,unit_type_6,unit_type,25,1.0,1.0,1.0,0.049909,0.051702,0.051534,0.082007,0.078219
A1,1,ally,12,unit_type_7,unit_type,25,0.0,0.0,0.0,0.023295,0.027628,0.015416,0.049809,0.03051
A1,1,ally,13,unit_type_8,unit_type,25,0.0,0.0,0.0,0.001687,0.001928,0.002017,0.005087,0.003664
A2,2,ally,0,hp,health_shield,25,1.0,1.0,1.0,0.018407,0.013671,0.028423,0.042775,0.042775
A2,2,ally,1,cooldown_or_energy,cooldown,25,0.0,0.0,0.0,0.016574,0.034832,0.030517,0.071318,0.068076
A2,2,ally,2,dx,position,25,-0.388773,-0.49826,-0.293656,0.010533,0.011411,0.035515,0.024006,0.064484
A2,2,ally,3,dy,position,25,0.092446,-6.3e-05,0.141732,0.010566,0.019792,0.029097,0.046009,0.038261
A2,2,ally,4,shield,health_shield,25,0.982,0.55,1.0,0.044763,0.056647,0.042848,0.329702,0.23933
A2,2,ally,5,unit_type_0,unit_type,25,0.0,0.0,0.0,0.006299,0.009172,0.005157,0.021518,0.016282
A2,2,ally,6,unit_type_1,unit_type,25,0.0,0.0,0.0,0.016811,0.00364,0.006214,0.012543,0.013205
A2,2,ally,7,unit_type_2,unit_type,25,0.0,0.0,0.0,0.018015,0.025534,0.019681,0.036289,0.026705
A2,2,ally,8,unit_type_3,unit_type,25,0.0,0.0,0.0,0.006706,0.011684,0.023254,0.029518,0.033857
A2,2,ally,9,unit_type_4,unit_type,25,0.0,0.0,0.0,0.001819,0.001686,0.001418,0.00209,0.00209
A2,2,ally,10,unit_type_5,unit_type,25,0.0,0.0,0.0,0.017647,0.009643,0.010816,0.03248,0.027122
A2,2,ally,11,unit_type_6,unit_type,25,1.0,1.0,1.0,0.035548,0.037397,0.033155,0.056206,0.041005
A2,2,ally,12,unit_type_7,unit_type,25,0.0,0.0,0.0,0.030088,0.031823,0.032371,0.053856,0.058669
A2,2,ally,13,unit_type_8,unit_type,25,0.0,0.0,0.0,0.000928,0.000487,0.001028,0.001372,0.002824
A3,3,ally,0,hp,health_shield,25,1.0,1.0,1.0,0.020628,0.037576,0.182724,0.06255,0.640668
A3,3,ally,1,cooldown_or_energy,cooldown,25,0.038955,0.0,0.673507,0.074745,0.071216,0.122132,0.326754,0.360571
A3,3,ally,2,dx,position,25,-0.313836,-0.451678,-0.253031,0.008938,0.009525,0.028311,0.025958,0.056041
A3,3,ally,3,dy,position,25,-0.054915,-0.200842,0.064469,0.032001,0.048641,0.10329,0.067127,0.133434
A3,3,ally,4,shield,health_shield,25,0.811,0.55,1.0,0.066867,0.144117,0.383674,0.232188,0.751445
A3,3,ally,5,unit_type_0,unit_type,25,0.0,0.0,0.0,0.010707,0.006303,0.005538,0.017323,0.017323
A3,3,ally,6,unit_type_1,unit_type,25,0.0,0.0,0.0,0.010568,0.009608,0.015025,0.026779,0.030302
A3,3,ally,7,unit_type_2,unit_type,25,0.0,0.0,0.0,0.009795,0.013562,0.017374,0.019748,0.026244
A3,3,ally,8,unit_type_3,unit_type,25,0.0,0.0,0.0,0.017072,0.011918,0.007602,0.029886,0.018931
A3,3,ally,9,unit_type_4,unit_type,25,0.0,0.0,0.0,0.001151,0.001113,0.001189,0.001425,0.001719
A3,3,ally,10,unit_type_5,unit_type,25,0.0,0.0,0.0,0.019131,0.02365,0.029017,0.044555,0.044555
A3,3,ally,11,unit_type_6,unit_type,25,1.0,1.0,1.0,0.028739,0.027147,0.059892,0.053887,0.110417
A3,3,ally,12,unit_type_7,unit_type,25,0.0,0.0,0.0,0.00879,0.014246,0.014063,0.028779,0.036006
A3,3,ally,13,unit_type_8,unit_type,25,0.0,0.0,0.0,0.002689,0.00189,0.001421,0.004412,0.003401
E0,9,enemy,0,hp,health_shield,25,1.0,1.0,1.0,0.006042,0.0071,0.008365,0.02001,0.019575
E0,9,enemy,1,dx,position,25,-0.107667,-0.212196,0.24657,0.036363,0.032122,0.051805,0.102923,0.102923
E0,9,enemy,2,dy,position,25,0.030489,0.016031,0.036397,0.020815,0.027732,0.066639,0.048021,0.094747
E0,9,enemy,3,shield,health_shield,25,0.928,0.775,1.0,0.053392,0.055064,0.053077,0.126635,0.143162
E0,9,enemy,4,unit_type_0,unit_type,25,0.0,0.0,0.0,0.004709,0.004123,0.004571,0.011761,0.008191
E0,9,enemy,5,unit_type_1,unit_type,25,0.0,0.0,0.0,0.008099,0.008535,0.007962,0.015037,0.015374
E0,9,enemy,6,unit_type_2,unit_type,25,0.0,0.0,0.0,0.013071,0.010653,0.006371,0.017335,0.012712
E0,9,enemy,7,unit_type_3,unit_type,25,0.0,0.0,0.0,0.002209,0.001877,0.004448,0.00566,0.008192
E0,9,enemy,8,unit_type_4,unit_type,25,0.0,0.0,0.0,0.033223,0.023852,0.017876,0.040719,0.029436
E0,9,enemy,9,unit_type_5,unit_type,25,0.0,0.0,0.0,0.000792,0.000778,0.00074,0.001051,0.000933
E0,9,enemy,10,unit_type_6,unit_type,25,1.0,1.0,1.0,0.062892,0.047088,0.043137,0.107321,0.107321
E0,9,enemy,11,unit_type_7,unit_type,25,0.0,0.0,0.0,0.013833,0.010683,0.007157,0.027186,0.027186
E0,9,enemy,12,unit_type_8,unit_type,25,0.0,0.0,0.0,0.010769,0.01151,0.013129,0.015223,0.015184
E1,10,enemy,0,hp,health_shield,25,1.0,1.0,1.0,0.021705,0.025193,0.027118,0.038321,0.034171
E1,10,enemy,1,dx,position,25,-0.109167,-0.226927,0.205949,0.015784,0.029715,0.046278,0.084148,0.084148
E1,10,enemy,2,dy,position,25,0.002224,-0.008873,0.014461,0.019856,0.020962,0.0502,0.042771,0.073018
E1,10,enemy,3,shield,health_shield,25,0.802,0.55,1.0,0.024779,0.050388,0.080504,0.181828,0.22764
