entity,slot_idx,faction,feature_group,valid_timesteps,actual_mean,recon_mae,one_step_mae,open_loop_mae,recon_mse,one_step_mse,open_loop_mse
A0,0,ally,health_shield,25,0.419,0.20884,0.194683,0.308175,0.165139,0.113198,0.196802
A0,0,ally,cooldown,25,0.065896,0.094661,0.564142,0.570887,0.014171,0.675756,0.720248
A0,0,ally,position,25,-0.099246,0.051194,0.09125,0.09341,0.004737,0.018885,0.017496
A0,0,ally,unit_type,25,0.066667,0.051027,0.106882,0.104155,0.011664,0.055723,0.057393
A0,0,ally,all_dynamic,25,0.093243,0.076712,0.149853,0.165104,0.032779,0.102959,0.118955
A1,1,ally,health_shield,25,0.8055,0.020798,0.0408,0.042575,0.000758,0.00401,0.004458
A1,1,ally,cooldown,25,0.108582,0.086151,0.074808,0.081312,0.033169,0.02653,0.034014
A1,1,ally,position,25,-0.179033,0.018862,0.017246,0.04216,0.000551,0.000483,0.002233
A1,1,ally,unit_type,25,0.111111,0.018579,0.018588,0.017135,0.000709,0.000666,0.000635
A1,1,ally,all_dynamic,25,0.16868,0.023763,0.025585,0.028929,0.003012,0.002965,0.003794
A2,2,ally,health_shield,25,0.991,0.031585,0.035159,0.035635,0.001587,0.003744,0.00257
A2,2,ally,cooldown,25,0.0,0.016574,0.034832,0.030517,0.000495,0.001567,0.001211
A2,2,ally,position,25,-0.148164,0.01055,0.015601,0.032306,0.000184,0.000347,0.001279
A2,2,ally,unit_type,25,0.111111,0.014874,0.014563,0.014788,0.000491,0.000445,0.000416
A2,2,ally,all_dynamic,25,0.191834,0.016765,0.019101,0.021392,0.000604,0.000983,0.000904
A3,3,ally,health_shield,25,0.9055,0.043748,0.090847,0.283199,0.003157,0.013817,0.148934
A3,3,ally,cooldown,25,0.038955,0.074745,0.071216,0.122132,0.010688,0.009195,0.022024
A3,3,ally,position,25,-0.184376,0.02047,0.029083,0.065801,0.000699,0.00134,0.006163
A3,3,ally,unit_type,25,0.111111,0.012071,0.01216,0.016791,0.000302,0.000273,0.000698
A3,3,ally,all_dynamic,25,0.177229,0.022273,0.030037,0.069375,0.001508,0.002998,0.024178
E0,9,enemy,health_shield,25,0.964,0.029717,0.031082,0.030721,0.001844,0.002027,0.002207
E0,9,enemy,position,25,-0.038589,0.028589,0.029927,0.059222,0.001067,0.001214,0.003962
E0,9,enemy,unit_type,25,0.111111,0.016622,0.013233,0.01171,0.000693,0.000412,0.000333
E0,9,enemy,all_dynamic,25,0.219294,0.020477,0.018547,0.021944,0.000928,0.000784,0.001179
E1,10,enemy,health_shield,25,0.901,0.023242,0.037791,0.053811,0.000706,0.002424,0.005157
E1,10,enemy,position,25,-0.053472,0.01782,0.025339,0.048239,0.000523,0.000927,0.002854
E1,10,enemy,unit_type,25,0.111111,0.012488,0.012716,0.011878,0.000362,0.000379,0.000293
E1,10,enemy,all_dynamic,25,0.207312,0.014963,0.018516,0.023923,0.00044,0.000778,0.001435
E2,11,enemy,health_shield,25,0.874,0.017895,0.031032,0.045116,0.000431,0.002158,0.004943
E2,11,enemy,position,25,-0.058361,0.032354,0.035851,0.050485,0.001388,0.001934,0.003555
E2,11,enemy,unit_type,25,0.111111,0.01382,0.011537,0.013911,0.000379,0.000269,0.000426
E2,11,enemy,all_dynamic,25,0.202406,0.017299,0.018277,0.024339,0.000542,0.000816,0.001603
