target_timestep,entity,slot_idx,faction,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,one_step_abs_error,open_loop_abs_error
21,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.507462,1.554595,1.507462,1.554595
20,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.486537,1.55192,1.486537,1.55192
19,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.462028,1.488607,1.462028,1.488607
18,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.416987,1.431672,1.416987,1.431672
22,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.37594,1.429466,1.37594,1.429466
25,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.359527,1.418597,1.359527,1.418597
24,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.345954,1.421551,1.345954,1.421551
23,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.337953,1.399943,1.337953,1.399943
16,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.987777,1.053398,0.987777,1.053398
17,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.953793,1.106372,0.953793,1.106372
20,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.933616,0.934349,0.933616,0.934349
21,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.926681,0.915549,0.926681,0.915549
22,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.923798,0.919432,0.923798,0.919432
23,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.923193,0.904545,0.923193,0.904545
18,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.907729,1.006346,0.907729,1.006346
25,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.896489,0.895634,0.896489,0.895634
19,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.87906,0.845065,0.87906,0.845065
24,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.857118,0.84258,0.857118,0.84258
19,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.856214,0.812672,0.856214,0.812672
21,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.854337,0.799227,0.854337,0.799227
18,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.850178,0.660406,0.850178,0.660406
20,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.839899,0.790404,0.839899,0.790404
22,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.771419,0.712838,0.771419,0.712838
24,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.75557,0.709808,0.75557,0.709808
23,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.749529,0.698228,0.749529,0.698228
25,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.73036,0.692692,0.73036,0.692692
20,A1,1,ally,1,cooldown_or_energy,cooldown,0.953358,0.313113,0.30691,0.249291,0.646448,0.704067
17,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,0.548668,0.51614,0.548668,0.51614
21,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.521501,0.518947,0.521501,0.518947
24,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.505132,0.498207,0.505132,0.498207
25,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.50122,0.479009,0.50122,0.479009
20,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.494802,0.502195,0.494802,0.502195
19,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.479726,0.492019,0.479726,0.492019
23,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.472673,0.464308,0.472673,0.464308
16,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,0.463118,0.443359,0.463118,0.443359
22,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.460051,0.451734,0.460051,0.451734
18,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.448054,0.438172,0.448054,0.438172
17,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.412995,-0.046656,0.412995,0.046656
23,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.395438,-0.413429,0.395438,0.413429
22,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.391325,-0.414592,0.391325,0.414592
25,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.389125,-0.410792,0.389125,0.410792
21,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.381684,-0.401848,0.381684,0.401848
24,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.380249,-0.398872,0.380249,0.398872
18,A1,1,ally,1,cooldown_or_energy,cooldown,0.673507,0.196523,0.294407,0.214676,0.379101,0.458832
9,A0,0,ally,1,cooldown_or_energy,cooldown,0.673507,0.3349,0.306581,0.217749,0.366927,0.455759
20,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.365536,-0.394378,0.365536,0.394378
10,A0,0,ally,4,shield,health_shield,0.1,0.278407,0.459819,0.904343,0.359819,0.804343
17,A0,0,ally,3,dy,position,0.0,0.138964,0.340402,0.192243,0.340402,0.192243
19,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.34027,-0.344653,0.34027,0.344653
25,A2,2,ally,4,shield,health_shield,0.55,0.507775,0.879703,0.78933,0.329702,0.23933
10,A3,3,ally,1,cooldown_or_energy,cooldown,0.673507,0.276773,0.346754,0.312936,0.326754,0.360571
18,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.320917,-0.361222,0.320917,0.361222
17,A0,0,ally,2,dx,position,0.0,-0.036925,-0.315009,-0.241083,0.315009,0.241083
21,A0,0,ally,2,dx,position,0.0,-0.036925,-0.279227,-0.256045,0.279227,0.256045
25,A0,0,ally,2,dx,position,0.0,-0.036925,-0.275875,-0.274587,0.275875,0.274587
