target_timestep,entity,slot_idx,faction,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,one_step_abs_error,open_loop_abs_error
21,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.507462,1.554595,1.507462,1.554595
20,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.486537,1.55192,1.486537,1.55192
19,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.462028,1.488607,1.462028,1.488607
18,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.416987,1.431672,1.416987,1.431672
22,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.37594,1.429466,1.37594,1.429466
24,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.345954,1.421551,1.345954,1.421551
25,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.359527,1.418597,1.359527,1.418597
23,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.337953,1.399943,1.337953,1.399943
17,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.953793,1.106372,0.953793,1.106372
16,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.987777,1.053398,0.987777,1.053398
18,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.907729,1.006346,0.907729,1.006346
20,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.933616,0.934349,0.933616,0.934349
22,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.923798,0.919432,0.923798,0.919432
21,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.926681,0.915549,0.926681,0.915549
23,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.923193,0.904545,0.923193,0.904545
25,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.896489,0.895634,0.896489,0.895634
11,A0,0,ally,4,shield,health_shield,0.0,0.147115,0.135081,0.864838,0.135081,0.864838
15,A0,0,ally,0,hp,health_shield,0.0375,0.188141,0.209888,0.896446,0.172388,0.858946
19,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.87906,0.845065,0.87906,0.845065
24,A0,0,ally,11,unit_type_6,unit_type,0.0,0.384868,0.857118,0.84258,0.857118,0.84258
19,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.856214,0.812672,0.856214,0.812672
10,A0,0,ally,4,shield,health_shield,0.1,0.278407,0.459819,0.904343,0.359819,0.804343
21,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.854337,0.799227,0.854337,0.799227
20,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.839899,0.790404,0.839899,0.790404
12,A0,0,ally,4,shield,health_shield,0.0,0.144411,0.036478,0.783645,0.036478,0.783645
14,A0,0,ally,0,hp,health_shield,0.25,0.325578,0.349207,1.0096,0.099207,0.7596
23,A3,3,ally,4,shield,health_shield,0.775,0.712992,0.561861,0.023555,0.213139,0.751445
16,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.040494,0.751247,0.040494,0.751247
22,A3,3,ally,4,shield,health_shield,0.775,0.715389,0.569355,0.035811,0.205645,0.739189
21,A3,3,ally,4,shield,health_shield,0.775,0.709778,0.58699,0.056736,0.18801,0.718264
22,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.771419,0.712838,0.771419,0.712838
20,A3,3,ally,4,shield,health_shield,0.775,0.711026,0.564392,0.06444,0.210608,0.71056
24,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.75557,0.709808,0.75557,0.709808
20,A1,1,ally,1,cooldown_or_energy,cooldown,0.953358,0.313113,0.30691,0.249291,0.646448,0.704067
23,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.749529,0.698228,0.749529,0.698228
25,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.73036,0.692692,0.73036,0.692692
19,A3,3,ally,4,shield,health_shield,0.775,0.708805,0.565724,0.089896,0.209276,0.685104
18,A0,0,ally,0,hp,health_shield,0.0,0.901228,0.850178,0.660406,0.850178,0.660406
13,A0,0,ally,4,shield,health_shield,0.0,0.036281,0.051998,0.65126,0.051998,0.65126
18,A3,3,ally,4,shield,health_shield,0.775,0.67384,0.568928,0.124737,0.206072,0.650263
25,A3,3,ally,0,hp,health_shield,1.0,0.989181,1.029597,0.359332,0.029597,0.640668
24,A3,3,ally,0,hp,health_shield,1.0,0.997855,1.040205,0.378508,0.040205,0.621492
17,A3,3,ally,4,shield,health_shield,0.775,0.662459,0.546751,0.156226,0.228249,0.618774
23,A3,3,ally,0,hp,health_shield,1.0,0.986555,1.048205,0.407722,0.048205,0.592278
16,A3,3,ally,4,shield,health_shield,0.775,0.643551,0.608623,0.198783,0.166377,0.576217
13,A0,0,ally,0,hp,health_shield,0.4625,0.48835,0.642777,1.029059,0.180277,0.566559
22,A3,3,ally,0,hp,health_shield,1.0,0.993099,1.054694,0.463247,0.054694,0.536753
24,A3,3,ally,4,shield,health_shield,0.55,0.549991,0.569202,0.01907,0.019202,0.53093
15,A3,3,ally,4,shield,health_shield,0.775,0.663566,0.647779,0.245795,0.127221,0.529205
25,A3,3,ally,4,shield,health_shield,0.55,0.594102,0.458626,0.02245,0.091374,0.52755
21,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.521501,0.518947,0.521501,0.518947
17,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,-0.091185,0.548668,0.51614,0.548668,0.51614
14,A3,3,ally,4,shield,health_shield,0.775,0.727325,0.661991,0.262197,0.113009,0.512803
20,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.494802,0.502195,0.494802,0.502195
24,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.505132,0.498207,0.505132,0.498207
19,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.479726,0.492019,0.479726,0.492019
25,A0,0,ally,7,unit_type_2,unit_type,0.0,0.008955,0.50122,0.479009,0.50122,0.479009
